Title,SJR,H index,Quartile
Radiocarbon,"4,956",92,Q1
"Lancet Regional Health - Europe, The","4,955",44,Q1
PRX Quantum,"4,954",46,Q1
Foundations and Trends in Computer Graphics and Vision,"4,952",27,Q1
Cancer Communications,"4,950",79,Q1
Journal of Service Research,"4,948",148,Q1
International Organization,"4,932",163,Q1
Circulation Research,"4,903",385,Q1
IEEE Signal Processing Magazine,"4,896",211,Q1
Annual Review of Marine Science,"4,891",127,Q1
Nature Food,"4,891",57,Q1
Trends in Neurosciences,"4,891",318,Q1
Nature Communications,"4,887",522,Q1
Cell Systems,"4,872",87,Q1
IEEE Transactions on Smart Grid,"4,863",230,Q1
Annual Review of Financial Economics,"4,854",44,Q1
Cellular and Molecular Immunology,"4,838",124,Q1
Journal of Clinical Investigation,"4,833",544,Q1
Studies in Mycology,"4,821",118,Q1
Nature reviews. Rheumatology,"4,818",182,Q1
Acta Mathematica,"4,814",76,Q1
Journal of Business Venturing,"4,813",224,Q1
Personality and Social Psychology Review,"4,795",185,Q1
Cement and Concrete Research,"4,781",288,Q1
Nature Synthesis,"4,759",25,Q1
Trends in Cognitive Sciences,"4,758",358,Q1
Periodontology 2000,"4,744",151,Q1
Acta Neuropathologica,"4,720",215,Q1
Quantitative Economics,"4,720",36,Q1
Educational Psychologist,"4,709",154,Q1
Annual Review of Physical Chemistry,"4,696",186,Q1
IEEE/CAA Journal of Automatica Sinica,"4,696",83,Q1
British Journal of Sports Medicine,"4,691",224,Q1
Handbook of Industrial Organization,"4,691",10,Q1
Brain,"4,689",380,Q1
Nano Energy,"4,685",255,Q1
Progress in Particle and Nuclear Physics,"4,672",129,Q1
Drug Resistance Updates,"4,665",132,Q1
Ophthalmology,"4,642",285,Q1
Accounting Review,"4,640",192,Q1
Blood cancer discovery,"4,640",25,Q1
JACC: Cardiovascular Imaging,"4,636",155,Q1
"Annual Review of Control, Robotics, and Autonomous Systems","4,633",36,Q1
American Journal of Political Science,"4,629",204,Q1
Clinical Cancer Research,"4,623",377,Q1
GigaScience,"4,621",88,Q1
Political Analysis,"4,612",83,Q1
Computational Visual Media,"4,608",27,Q1
Journal of International Business Studies,"4,600",229,Q1
ACS Nano,"4,593",478,Q1
Carbon Research,"4,585",17,Q1
Journal of International Economics,"4,583",159,Q1
Journal of Management Studies,"4,578",221,Q1
Academy of Management Perspectives,"4,569",156,Q1
Annual Review of Nuclear and Particle Science,"4,538",113,Q1
Journal of Human Resources,"4,524",123,Q1
American Journal of Human Genetics,"4,516",330,Q1
Trends in Cancer,"4,513",90,Q1
Economic Journal,"4,507",185,Q1
IEEE Transactions on Automatic Control,"4,501",329,Q1
Ecology Letters,"4,497",313,Q1
Foundations and Trends in Information Retrieval,"4,496",36,Q1
Science advances,"4,483",252,Q1
IEEE Transactions on Industrial Informatics,"4,420",193,Q1
Protein Science,"4,419",196,Q1
"Lancet HIV,The","4,416",81,Q1
Protein and Cell,"4,412",94,Q1
Accounts of Materials Research,"4,403",39,Q1
Genome Research,"4,403",328,Q1
Health Affairs,"4,387",212,Q1
Qualitative Research in Psychology,"4,387",52,Q1
Leadership Quarterly,"4,375",189,Q1
IEEE Transactions on Sustainable Energy,"4,364",164,Q1
JAMA Internal Medicine,"4,363",390,Q1
Annual Review of Genomics and Human Genetics,"4,361",129,Q1
Biological Reviews,"4,347",199,Q1
Quarterly Journal of the Royal Meteorological Society,"4,347",166,Q1
International Journal of Robotics Research,"4,346",190,Q1
SmartMat,"4,332",33,Q1
Journal of the Royal Statistical Society. Series B: Statistical Methodology,"4,330",151,Q1
"Lancet Healthy Longevity, The","4,324",30,Q1
American Journal of Psychiatry,"4,321",395,Q1
Educational Psychology Review,"4,321",142,Q1
Inventiones Mathematicae,"4,321",124,Q1
Journal of the American Academy of Child and Adolescent Psychiatry,"4,320",273,Q1
Journal of Urban Economics,"4,314",132,Q1
Remote Sensing of Environment,"4,310",350,Q1
IEEE Transactions on Communications,"4,307",235,Q1
PhotoniX,"4,303",30,Q1
American Sociological Review,"4,295",230,Q1
Global Change Biology,"4,285",313,Q1
Cell Reports,"4,279",224,Q1
Cell Reports Medicine,"4,276",50,Q1
npj Digital Medicine,"4,273",84,Q1
Journal of Extracellular Vesicles,"4,268",112,Q1
Psychological Methods,"4,235",183,Q1
Earth System Science Data,"4,231",99,Q1
"Lancet Child and Adolescent Health, The","4,229",69,Q1
IEEE Transactions on Fuzzy Systems,"4,204",218,Q1
"Vital and health statistics. Series 2, Data evaluation and methods research","4,202",33,Q1
Cell Discovery,"4,198",59,Q1
PLoS Medicine,"4,198",275,Q1
Communications on Pure and Applied Mathematics,"4,188",120,Q1
Information Systems Research,"4,176",185,Q1
IEEE Transactions on Neural Networks and Learning Systems,"4,170",251,Q1
Trends in Immunology,"4,163",256,Q1
Coordination Chemistry Reviews,"4,145",312,Q1
Medical Image Analysis,"4,112",171,Q1
MIS Quarterly: Management Information Systems,"4,105",271,Q1
Cell Death and Differentiation,"4,102",257,Q1
Journal of the National Comprehensive Cancer Network : JNCCN,"4,102",150,Q1
European Heart Journal,"4,091",348,Q1
Annual Review of Microbiology,"4,082",213,Q1
Human Reproduction Update,"4,074",214,Q1
Trends in Biochemical Sciences,"4,074",301,Q1
Molecular Biology and Evolution,"4,061",245,Q1
Communication Methods and Measures,"4,060",43,Q1
Autophagy,"4,035",189,Q1
Annual Review of Virology,"4,023",67,Q1
Transactions of the Association for Computational Linguistics,"4,006",56,Q1
Aggregate,"3,994",33,Q1
"IEEE Transactions on Systems, Man, and Cybernetics: Systems","3,992",171,Q1
Journal of Financial and Quantitative Analysis,"3,980",147,Q1
Blood Cancer Journal,"3,974",76,Q1
EMBO Molecular Medicine,"3,964",142,Q1
Annual Review of Pharmacology and Toxicology,"3,957",224,Q1
Educational Researcher,"3,956",151,Q1
eLife,"3,932",206,Q1
"Lancet Haematology,The","3,923",93,Q1
Journal of the American Statistical Association,"3,922",215,Q1
Journal of Retailing,"3,915",159,Q1
Advanced Science,"3,914",187,Q1
Strategic Organization,"3,914",73,Q1
JAMA Surgery,"3,905",206,Q1
IEEE Network,"3,896",151,Q1
Molecular Psychiatry,"3,895",250,Q1
Kidney International,"3,886",318,Q1
Educational Research Review,"3,874",100,Q1
Contemporary Educational Psychology,"3,863",130,Q1
RAND Journal of Economics,"3,860",127,Q1
ACS Catalysis,"3,847",293,Q1
American Economic Journal: Microeconomics,"3,835",54,Q1
Digest of Technical Papers - IEEE International Solid-State Circuits Conference,"3,827",114,-
IEEE Transactions on Power Systems,"3,827",307,Q1
European Journal of Information Systems,"3,824",128,Q1
PLoS Biology,"3,822",305,Q1
IEEE Journal on Selected Topics in Signal Processing,"3,818",141,Q1
European Respiratory Journal,"3,810",282,Q1
Academy of Management Discoveries,"3,803",26,Q1
Microbiome,"3,802",143,Q1
Advances in Applied Energy,"3,788",33,Q1
Sociological Methods and Research,"3,788",94,Q1
Biological Psychiatry,"3,786",356,Q1
Cancer Immunology Research,"3,781",134,Q1
Duke Mathematical Journal,"3,774",95,Q1
Annual Review of Cancer Biology,"3,766",36,Q1
Personnel Psychology,"3,763",167,Q1
ISPRS Journal of Photogrammetry and Remote Sensing,"3,760",187,Q1
Journal of Development Economics,"3,737",171,Q1
Proceedings of the National Academy of Sciences of the United States of America,"3,737",869,Q1
Molecular Therapy,"3,736",209,Q1
Journal for ImmunoTherapy of Cancer,"3,728",117,Q1
ACS Central Science,"3,722",136,Q1
Journal of Cell Biology,"3,717",414,Q1
"Lancet Rheumatology, The","3,717",54,Q1
Current Climate Change Reports,"3,713",53,Q1
Nature Cardiovascular Research,"3,710",15,Q1
Arthritis and Rheumatology,"3,708",353,Q1
Archive for Rational Mechanics and Analysis,"3,703",111,Q1
IEEE Transactions on Medical Imaging,"3,703",259,Q1
Journal of Allergy and Clinical Immunology,"3,701",338,Q1
ISME Journal,"3,692",230,Q1
Radiology,"3,692",336,Q1
Trends in Genetics,"3,690",245,Q1
Computer Science Review,"3,679",75,Q1
Eco-Environment and Health,"3,678",10,Q1
Experimental and Molecular Medicine,"3,671",115,Q1
IEEE Transactions on Robotics,"3,669",190,Q1
Cancer Treatment Reviews,"3,667",164,Q1
Business Strategy and the Environment,"3,666",147,Q1
Leukemia,"3,662",219,Q1
Earth-Science Reviews,"3,654",249,Q1
Computers and Education,"3,651",232,Q1
Cement and Concrete Composites,"3,650",212,Q1
Structural Equation Modeling,"3,647",125,Q1
IEEE Transactions on Power Electronics,"3,644",321,Q1
Progress in Lipid Research,"3,638",168,Q1
Strategic Entrepreneurship Journal,"3,628",69,Q1
Advanced Composites and Hybrid Materials,"3,623",70,Q1
Health systems in transition,"3,619",43,Q1
Plant Cell,"3,616",397,Q1
Applied Physics Reviews,"3,610",105,Q1
Journal of Personality and Social Psychology,"3,610",434,Q1
Annals of Neurology,"3,600",331,Q1
Harvard Kennedy School Misinformation Review,"3,600",29,Q1
Liver Cancer,"3,599",56,Q1
Geometric and Functional Analysis,"3,597",77,Q1
Human Relations,"3,597",162,Q1
Renewable and Sustainable Energy Reviews,"3,596",421,Q1
Water Research,"3,596",376,Q1
Review of Economic Dynamics,"3,582",73,Q1
Energy Material Advances,"3,563",20,Q1
Sleep Medicine Reviews,"3,561",181,Q1
Current Opinion in Cell Biology,"3,559",278,Q1
IEEE Transactions on Image Processing,"3,556",329,Q1
Energy Economics,"3,555",210,Q1
Immunological Reviews,"3,554",254,Q1
Optica,"3,549",143,Q1
Journal of Consumer Psychology,"3,531",139,Q1
eClinicalMedicine,"3,522",80,Q1
Research Synthesis Methods,"3,520",68,Q1
Environmental Science &amp; Technology,"3,516",480,Q1
Health Psychology Review,"3,509",72,Q1
Circulation: Heart Failure,"3,505",136,Q1
Automatica,"3,502",318,Q1
Energy and Environmental Materials,"3,493",51,Q1
Sports Medicine,"3,492",229,Q1
Comparative Political Studies,"3,491",129,Q1
Journal of World Business,"3,490",142,Q1
Nano Today,"3,483",175,Q1
International Journal of Machine Tools and Manufacture,"3,479",192,Q1
JAMA network open,"3,478",128,Q1
Wiley Interdisciplinary Reviews: Computational Molecular Science,"3,473",105,Q1
Theoretical Economics,"3,470",37,Q1
Cancer Research,"3,468",498,Q1
Bioactive Materials,"3,466",90,Q1
Journal of Advanced Ceramics,"3,457",64,Q1
Chem Catalysis,"3,455",29,Q1
Soil Biology and Biochemistry,"3,453",266,Q1
Stata Journal,"3,453",104,Q1
Annals of Tourism Research,"3,447",216,Q1
Advanced Drug Delivery Reviews,"3,411",366,Q1
Nano Letters,"3,411",550,Q1
JHEP Reports,"3,409",42,Q1
Journal of the American Society of Nephrology : JASN,"3,409",321,Q1
Journal of Travel Research,"3,408",172,Q1
Alcohol research : current reviews,"3,402",113,Q1
Journal of Product Innovation Management,"3,402",171,Q1
Advanced Fiber Materials,"3,398",43,Q1
IEEE Transactions on Industrial Electronics,"3,395",341,Q1
One Earth,"3,392",55,Q1
Journal of Business and Economic Statistics,"3,385",118,Q1
IEEE Internet of Things Journal,"3,382",179,Q1
Bone Research,"3,378",65,Q1
"Genomics, Proteomics and Bioinformatics","3,378",73,Q1
Ageing Research Reviews,"3,376",162,Q1
Materials Horizons,"3,376",131,Q1
Opto-Electronic Advances,"3,374",42,Q1
Evolution Letters,"3,373",33,Q1
Journal of Innovation and Knowledge,"3,372",54,Q1
IEEE Transactions on Cognitive Communications and Networking,"3,371",54,Q1
Translational Neurodegeneration,"3,371",62,Q1
EcoMat,"3,369",36,Q1
Biometrika,"3,358",132,Q1
American Psychologist,"3,357",268,Q1
Progress in Human Geography,"3,357",178,Q1
Diabetologia,"3,355",261,Q1
Journal of Interactive Marketing,"3,355",126,Q1
International Journal of Research in Marketing,"3,352",121,Q1
Tourism Management,"3,352",255,Q1
Political Communication,"3,348",105,Q1
Small,"3,348",294,Q1
Trends in Chemistry,"3,348",67,Q1
Journal of Hospitality Marketing and Management,"3,347",79,Q1
Annals of Internal Medicine,"3,337",433,Q1
Circulation: Arrhythmia and Electrophysiology,"3,335",128,Q1
European Journal of Political Research,"3,334",118,Q1
California Management Review,"3,330",155,Q1
"Astrophysical Journal, Supplement Series","3,329",272,Q1
Sustainable Technology and Entrepreneurship,"3,328",15,Q1
Proceedings of the Annual ACM Symposium on Theory of Computing,"3,322",122,-
British Journal of Political Science,"3,320",114,Q1
Mucosal Immunology,"3,320",129,Q1
Higher Education for the Future,"3,313",11,Q1
Nature Astronomy,"3,311",84,Q1
Review of Environmental Economics and Policy,"3,311",67,Q1
Clinical Infectious Diseases,"3,308",387,Q1
Small Science,"3,304",35,Q1
Human Resource Management Review,"3,302",121,Q1
Seminars in Cancer Biology,"3,297",179,Q1
Strategy Science,"3,292",26,Q1
Frontiers in Ecology and the Environment,"3,291",198,Q1
Angiogenesis,"3,289",101,Q1
European Review of Social Psychology,"3,286",76,Q1
IMF Economic Review,"3,286",82,Q1
Journal of Advances in Modeling Earth Systems,"3,277",92,Q1
iMeta,"3,269",16,Q1
"Forum of Mathematics, Pi","3,266",20,Q1
Microbiology and Molecular Biology Reviews,"3,264",277,Q1
Artificial Intelligence Review,"3,260",115,Q1
Monographs of the Society for Research in Child Development,"3,260",76,Q1
Med,"3,253",35,Q1
Journal of the European Mathematical Society,"3,251",63,Q1
Econometrics Journal,"3,244",44,Q1
Wiley Interdisciplinary Reviews: Climate Change,"3,236",113,Q1
International Materials Reviews,"3,233",132,Q1
Trends in Pharmacological Sciences,"3,232",244,Q1
Journal of Strategic Information Systems,"3,230",107,Q1
Computers and Education: Artificial Intelligence,"3,227",29,Q1
Alzheimer's and Dementia,"3,226",162,Q1
Annual Review of Nutrition,"3,226",179,Q1
Memoirs of the American Mathematical Society,"3,226",73,Q1
Journal of Supply Chain Management,"3,220",112,Q1
Research Policy,"3,219",289,Q1
Trends in Molecular Medicine,"3,219",204,Q1
Journal of Economic Theory,"3,218",114,Q1
Global Strategy Journal,"3,209",46,Q1
Trends in Plant Science,"3,204",310,Q1
Annals of Probability,"3,203",99,Q1
JAMA Dermatology,"3,203",189,Q1
eBioMedicine,"3,193",116,Q1
EMBO Reports,"3,193",210,Q1
JACC: Clinical Electrophysiology,"3,188",65,Q1
Journal of Organizational Behavior,"3,187",217,Q1
European Journal of Epidemiology,"3,186",138,Q1
Critical Reviews in Environmental Science and Technology,"3,184",144,Q1
Journal of Corporate Finance,"3,182",131,Q1
Conservation Letters,"3,176",105,Q1
Journal of Manufacturing Systems,"3,168",107,Q1
Journal of Energy Chemistry,"3,165",113,Q1
Earth System Dynamics,"3,154",61,Q1
Pharmacology and Therapeutics,"3,150",233,Q1
Public Administration Review,"3,148",175,Q1
Ultrafast Science,"3,143",16,Q1
"Brain, Behavior, and Immunity","3,141",197,Q1
Cold Spring Harbor perspectives in biology,"3,140",233,Q1
Journal of Child Psychology and Psychiatry and Allied Disciplines,"3,133",243,Q1
Clinical and Molecular Hepatology,"3,128",56,Q1
Journal of Business Research,"3,128",265,Q1
Kidney International Supplements,"3,126",51,Q1
Plant Communications,"3,123",36,Q1
Organizational Behavior and Human Decision Processes,"3,119",177,Q1
